timestamp,value,axis
102402,7.64400053024292,y
102402,5.9599504470825195,z
102403,-1.374000072479248,x
102404,6.016050338745117,z
102405,-1.4479501247406006,x
102406,7.624050140380859,y
102407,6.094950199127197,z
102408,-1.4089500904083252,x
102409,7.617000579833984,y
102410,6.091950416564941,z
102411,-1.396950125694275,x
102412,7.64400053024292,y
102413,6.046950340270996,z
102415,-1.3810501098632812,x
102415,7.641000270843506,y
102416,5.878950119018555,z
102418,-1.3999500274658203,x
102418,7.621950149536133,y
102419,5.926950454711914,z
102421,-1.2229501008987427,x
102422,7.672050476074219,y
