timestamp,value,axis
102337,7.5960001945495605,y
102339,6.1180500984191895,z
102340,-1.3900500535964966,x
102340,7.615050315856934,y
102342,5.983950138092041,z
102342,-1.4190000295639038,x
102343,7.593000411987305,y
102345,6.097050189971924,z
102347,-1.3900500535964966,x
102348,7.591050148010254,y
102350,6.130050182342529,z
102351,-1.4239500761032104,x
102351,7.612050533294678,y
102353,6.091950416564941,z
102353,-1.3930500745773315,x
102355,7.615050315856934,y
102356,6.1620001792907715,z
102357,-1.350000023841858,x
102358,7.62000036239624,y
102359,6.004050254821777,z
102400,-1.3810501098632812,x
