timestamp,value,axis
102424,6.39900016784668,z
102425,-1.4910000562667847,x
102428,7.693950176239014,y
102428,5.845950126647949,z
102430,-1.4170501232147217,x
102431,7.701000213623047,y
102432,5.833950042724609,z
102432,-1.4329500198364258,x
102434,7.6650004386901855,y
102435,6.027000427246094,z
102435,-1.4500501155853271,x
102437,7.72005033493042,y
102438,5.6610002517700195,z
102439,-1.480950117111206,x
102440,7.684050559997559,y
102441,5.917050361633301,z
102441,-1.4050500392913818,x
102443,7.689000129699707,y
102444,6.016050338745117,z
102445,-1.4209500551223755,x
102446,7.675050258636475,y
