timestamp,value,axis
102255,-1.3380000591278076,x
102255,5.934000492095947,z
102255,7.735050201416016,y
102256,-1.350000023841858,x
102257,7.69605016708374,y
102258,6.007950305938721,z
102259,-1.3380000591278076,x
102300,7.699050426483154,y
102301,6.034950256347656,z
102302,-1.2829500436782837,x
102303,7.723050594329834,y
102304,5.848050117492676,z
102305,-1.3399500846862793,x
102306,7.69605016708374,y
102307,6.142050266265869,z
102308,-1.1839500665664673,x
102309,7.726950168609619,y
102310,6.303000450134277,z
102312,-1.4650501012802124,x
102313,7.633950233459473,y
102314,6.220950126647949,z
