timestamp,value,axis
102316,-1.4479501247406006,x
102317,7.621950149536133,y
102317,6.01800012588501,z
102319,-1.3900500535964966,x
102320,7.648050308227539,y
102321,5.893050193786621,z
102322,-1.4620500802993774,x
102323,6.070950508117676,z
102324,-1.3690500259399414,x
102325,7.5450005531311035,y
102326,6.265050411224365,z
102327,-1.3860000371932983,x
102328,7.555050373077393,y
102329,6.235950469970703,z
102330,-1.443000078201294,x
102331,7.567050457000732,y
102332,6.166050434112549,z
102333,-1.4119501113891602,x
102334,7.579050540924072,y
102335,6.099000453948975,z
102336,-1.4070000648498535,x
