time,value
2024-07-24T00:44:22.181612195Z,48
2024-07-24T00:48:27.125531895Z,97
2024-07-24T00:48:35.115948648Z,95
2024-07-24T00:48:51.296621929Z,94
2024-07-24T00:50:09.937066206Z,78
2024-07-24T00:50:14.953732834Z,77
2024-07-24T00:50:20.073801068Z,75
2024-07-24T00:50:25.091402939Z,74
2024-07-24T00:50:30.211883377Z,73
2024-07-24T00:50:35.233752732Z,72
2024-07-24T00:50:40.349564752Z,71
2024-07-24T00:50:45.36797488Z,70
2024-07-24T00:50:52.329649349Z,69
2024-07-24T00:52:07.186240893Z,57
2024-07-24T00:52:12.208052771Z,56
2024-07-24T00:52:27.358383491Z,55
2024-07-24T00:52:57.771806314Z,54
2024-07-24T00:53:39.756408858Z,53
2024-07-24T00:54:06.585257799Z,52
2024-07-24T00:54:47.752744072Z,51
2024-07-24T00:55:37.116209785Z,59
2024-07-24T00:55:39.053776768Z,81
2024-07-24T00:55:41.101789834Z,87
2024-07-24T00:55:43.149810354Z,93
2024-07-24T00:55:45.300056749Z,95
2024-07-24T00:55:47.351053767Z,96
2024-07-24T00:55:49.403541927Z,97
2024-07-24T00:55:53.502094339Z,98
2024-07-24T00:56:14.075135754Z,97
2024-07-24T00:56:36.706450692Z,96
2024-07-24T00:56:40.801729483Z,95
2024-07-24T00:56:49.096213314Z,94
2024-07-24T00:56:59.335126582Z,93
2024-07-24T00:57:05.481001333Z,92
2024-07-24T00:57:07.529810612Z,91
2024-07-24T00:57:11.72613407Z,90
2024-07-24T00:57:17.876274593Z,89
2024-07-24T00:57:21.978746089Z,88
2024-07-24T00:57:24.014926064Z,87
2024-07-24T00:57:26.06250867Z,86
2024-07-24T00:57:32.315737606Z,85
2024-07-24T00:57:36.41048419Z,84
2024-07-24T00:57:38.453319762Z,83
2024-07-24T00:57:42.552517466Z,82
2024-07-24T00:57:50.843297817Z,81
2024-07-24T00:57:54.93954709Z,80
2024-07-24T00:57:59.03673658Z,79
2024-07-24T00:58:01.083713664Z,78
2024-07-24T00:58:09.276125066Z,77
2024-07-24T00:58:11.42664919Z,76
2024-07-24T00:58:15.531553401Z,75
2024-07-24T00:58:17.571909304Z,74
2024-07-24T00:58:23.821584685Z,73
2024-07-24T00:58:27.81065107Z,72
2024-07-24T00:58:31.911427623Z,71
2024-07-24T00:58:36.112390774Z,70
2024-07-24T00:58:42.251608742Z,69
2024-07-24T00:58:44.304788906Z,68
2024-07-24T00:58:46.346625973Z,67
2024-07-24T00:58:50.456460344Z,66
2024-07-24T00:58:52.593954503Z,65
2024-07-24T00:58:56.687429561Z,64
2024-07-24T00:59:00.78574542Z,63
2024-07-24T00:59:06.932344054Z,62
2024-07-24T00:59:11.024381124Z,61
2024-07-24T00:59:15.123553745Z,60
2024-07-24T00:59:23.418352508Z,59
2024-07-24T00:59:31.609426592Z,58
2024-07-24T00:59:39.903449202Z,57
2024-07-24T00:59:50.144806959Z,56
2024-07-24T01:00:00.486226053Z,55
2024-07-24T01:00:20.965990903Z,54
